state,solar_index,wind_index,hydro_index,solar_index_norm,wind_index_norm,hydro_index_norm,combined_index,rank
Zamfara,51.57818845,39.66926043,15.28153722,0.927375918,0.991731511,0.998738488,0.967741018,1
Sokoto,50.61710023,39.95517844,15.25665696,0.91009555,0.998879461,0.997112417,0.962924136,2
Katsina,49.83760957,40,15.21610578,0.896080306,1,0.994462158,0.957047662,3
Yobe,49.42214679,39.81504282,14.68628876,0.888610285,0.995376071,0.959835495,0.943784612,4
Gombe,52.42695253,37.44710413,14.6105316,0.942636697,0.936177603,0.954884318,0.94343792,5
Jigawa,53.32689616,36.12310967,14.59854255,0.958817685,0.903077742,0.954100763,0.938129475,6
Kano,50.37011769,33.62016013,14.97935761,0.905654803,0.840504003,0.978989271,0.90118564,7
Borno,43.50191165,39.56267429,14.39147097,0.782164447,0.989066857,0.940567415,0.894181033,8
Plateau,49.2211447,34.44722772,13.92561054,0.884996267,0.861180693,0.910120692,0.882941922,9
Bauchi,51.81359051,29.23694303,14.9870538,0.931608447,0.730923576,0.979492262,0.873339696,10
Kaduna,45.87920669,31.73141746,15.3008394,0.824908216,0.793285436,1,0.857613189,11
Kebbi,53.19895241,25.69833132,14.2949673,0.956517257,0.642458283,0.934260332,0.841032385,12
Adamawa,50.3376056,22.3755062,14.04749397,0.905070236,0.559387655,0.918086492,0.787335397,13
Benue,50.27884641,18.54519402,14.66347849,0.904013746,0.463629851,0.958344709,0.763462123,14
Kwara,48.95444286,18.2215367,14.14020362,0.880200968,0.455538418,0.924145613,0.742555237,15
Niger,51.56162305,13.59750654,14.83876037,0.927078072,0.339937664,0.969800413,0.732259514,16
Oyo,50.23417407,10.47117008,14.40324191,0.903210537,0.261779252,0.941336716,0.688241132,17
Taraba,47.14615551,12.05062388,14.27540173,0.847687958,0.301265597,0.932981607,0.677763544,18
Ebonyi,55.61734725,4.582679683,14.24504026,1,0.114566992,0.930997306,0.672847774,19
Ekiti,41.68546324,13.38220175,14.59119011,0.749504701,0.334555044,0.953620238,0.655301205,20
Nasarawa,50.02929115,3.819437034,14.19984985,0.899526742,0.095485926,0.928043846,0.625241732,21
Kogi,44.42795822,6.464396155,13.07756255,0.798814766,0.161609904,0.854695759,0.589763312,22
Federal Capital Territory,45.50371636,3.21962952,13.98713531,0.818156899,0.080490738,0.914141698,0.583969942,23
Enugu,45.55567792,5.602920078,12.53703157,0.819091168,0.140073002,0.819368875,0.581504237,24
Ogun,46.5821567,1.879503027,13.4512464,0.837547258,0.046987576,0.879118201,0.571244105,25
Edo,43.81463407,1.961485706,14.32023821,0.787787197,0.049037143,0.935911935,0.566255862,26
Lagos,38.77248501,10.95862958,11.51518491,0.697129348,0.27396574,0.752585176,0.562886042,27
Cross River,42.59670728,3.032942896,13.97032022,0.765888871,0.075823572,0.913042733,0.561154482,28
Osun,41.42421232,1.789069212,14.79878334,0.744807409,0.04472673,0.967187679,0.555374239,29
Imo,43.06299236,0.051057902,14.81550866,0.774272677,0.001276448,0.968280777,0.552226022,30
Anambra,44.81687226,4.180468775,11.54580102,0.805807441,0.104511719,0.754586119,0.547548608,31
Abia,41.52446715,1.025875135,14.30554139,0.746609991,0.025646878,0.934951411,0.541358257,32
Ondo,41.53723782,1.605320439,13.92814431,0.746839608,0.040133011,0.910286289,0.540353969,33
Delta,41.79916524,2.036407558,13.29731534,0.751549063,0.050910189,0.869057899,0.535702666,34
Akwa Ibom,40.63383405,0.04965951,14.00284677,0.730596407,0.001241488,0.915168535,0.521465217,35
Rivers,40.92956029,0.747276218,13.37760903,0.735913565,0.018681905,0.874305564,0.519480484,36
Bayelsa,39.45110471,1.279454988,13.19346579,0.709330931,0.031986375,0.862270719,0.510495283,37
